,questions,answers
0,Edward Fairfax Rochester is a character in which 19th century novel?,Jane Eyre
1,What is the equivalent Royal Navy rank to the Army's Major?,Rear Admiral Upper Half
2,In what century did Hyderabad style painting develop?,17th century
3,What is the name of Hercule Poirot's secretary?,MISS FELICITY LEMON
4,Swinley Bottom forms part of the track on which famous racecourse?,Ascott
5,"What name is given to a song or poem of lament, especially for the dead?",Elegies
6,I In which year was the Piper Alpha oil rig disaster?,"one thousand, nine hundred and eighty-eight"
7,The dotterel belongs to which family of birds?,Plover
8,"Ketevan 'Katie' Melua was born in 1984 in which Soviet Socialist Republic, now an independent country?",Western Georgia
9,"Up until 1994, royal assent was given by whom?",Order in Council
10,"On July 10th 1943, 'Operation Husky' saw the landing of British and American troops on which island?",Trinacrian
11,When was Mortal Kombat released in arcades?,1992
12,What is Congregation of Holy Cross in Latin?,Congregatio a Sancta Cruce
13,In what year did Sir Gordon Richards become the first jockey to be knighted?,1954
14,The first private company to offer Hyderabad internet service began offering it in what year?,1998
15,What was the title of the only U.K. No.1 hit for the group The Dave Clark Five ?,GLAD ALL OVER
16,"""What event's results were predicted by a """"psychic"""" octopus?""",FIFA 2010 Cup
17,What Executive order created the National Declassification Center?,Executive Order 13526
18,How many Dominican nunneries were there by 1358?,one hundred and fifty-seven
19,Which planet has moons called Triton and Nereid?,NEPTUNE
20,Which physical quantity is calculated by multiplying a body's mass by its velocity?,Momentum (physics)
21,Cape Hatteras in North Carolina is the nearest land to which UK overseas territory?,Foreign relations of Bermuda
22,What was the first non-Pixar movie to win the Best Animated Feature Film award?,The Adventures of Tintin: The Secret of the Unicorn
23,Who played the title role in the 1980 film an American Gigolo?,Richard Geer
24,What show did Peter Jennings anchor for ABC?,World News Tonight
25,On which instrument is a skirl played?,Bagpipe
26,"Constantia, famous as a wine growing area, is a suburb of which South African city?",Tavern of the Seas
27,Who was originally chosen to play Freddie Mercury in the movie bearing his name?,Sacha Baron Cohen
28,Self-psychology is compelled to investigate how personal self relates to what?,the social environment
29,What breed of dog is known as the Carriage Dog (because they were trained to run with horse-drawn carriages as guard dogs)?,Dalmatians
30,'London Pride' and 'Chiswick Bitter' are beers from which brewery?,Fuller's
31,How old must you be to serve on a jury in the city of Seattle?,18
32,What is the name of the baseball team for Los Angeles?,Los Angeles Dodgers
33,What does the prefix 'cry' mean in words such as cryogenics?,Coolth
34,"Seven years older, Mycroft is the more corpulent, more intelligent brother of whom?",Sherlock Holmes
35,The flag of Tunisia consists of which two colours?,Red and white
36,"FOUR, released last year is a chart-topping album by which boy band, their last with five members?",One Direction 
37,An ortolan is what type of creature?,Avians
38,What iconic album cover featured the four band members walking across a street in single file?,Abbey Road 
39,Which Welsh cathedral is the smallest in Great Britain?,"St. Asaph, Wales"
40,How many years of school are there in the Tajikistan school system?,11 years of primary and secondary education
41,"The first electric elevator, built in 1880, was in what Country?",Germany
42,Nancy Shevell married which English singer/songwriter in October 2011?,Gladys Jenkins
43,What was the food of the Greek gods?,ambrosia
44,What country is bordered by Panama and Nicaragua?,Costa Rica
45,Which Island Nation was devastated by cyclone Pam in March 2015?,Vanuata
46,Who was the second Stuart king on the English throne?,Charles the First
47,"Founded in 1769, name the specialist British publisher of guides to aristocracy, etiquette, and correct forms of address?",Debrett
48,Who is the only president of the USA to serve non-consecutive terms?,Stephen Cleveland
49,What is the official language of Egypt?,Arabic
50,What was the pre-independence name of Malawi?,NYASALAND
51,What was the CDs predecessor?,the gramophone record
52,Why might the method gradually applying the operating voltage not be suitable to protect electrolytic capacitors in modern devices?,these produce full output voltage even with reduced input
53,In which English County is Huntingdon Castle?,Cambridgeshire county 
54,What is the largest city in Turkey?,Stambulu
55,Who was called the King of Ragtime?,The King of Ragtime
56,Who built the three forts on St. Barts?,the Swedes
57,What did the Arabs create Arabic versions of?,philosophical and scientific works
58,When did Winstron Churchill form his government?,1940
59,What is Triskaidekaphobia the fear of?,Number thirteen
60,What agreement gave Germany many regions of Russia in the first world war?,Treaty of Brest-Litovsk
61,Where are the suites located that the Queen and Prince Phillip use?,the north wing
62,How many free people of color lived in North Carolina in 1860?,"30,463"
63,From where is the Irish prime minister usually selected?,the political party that commands majority of seats in the lower house of parliament
64,"What is grounds for expulsion from Jehovah Witnesses, since 1961?",willing acceptance of a blood transfusion
65,"""Which species of python is the longest snake in the world and gets its name from the Latin for """"net-like"""" because of the patterns on its skin?""",RETICULATED python
66,"After Auckland and Wellington, what is New Zealand's third-largest city by population?",Port Cooper Plains
67,Killikrates and Iktinos were the architects of which building completed on the 5th century BC?,Parthenon
68,The immune system also produces what molecules in order to allow for tumor destruction by the complement system?,antibodies
69,In which USA city was Jimi Hendrix born?,"Seattle, Washington."
70,Which English King died of dysentery while campaigning in France?,Henry 5
71,What is the name of the largest freshwater lake in western United States?,Flathead Lake
72,"Puffer, Angel and Dog are all types of which creature?",Fish proteins
73,Who invaded Britain when the Romans Left?,Britain was invaded by Anglo-Saxon people
74,When did the Hongwu Emperor use military force in Tibet?,the 14th century
75,Which US city is served by McCarran Airport?,Las Vegas City Council
76,In which English city would you find a district called Portishead?,Bristol (England)
77,When was Principles of Phonology published?,1939
78,In which country did Warsaw Pact officials meet to dissolve the alliance?,Hungary
79,Lapis Lazuli is a shade of which primary colour?,Blue
80,What is the only team that has a higher attendance rate than Club Barcelona? ,Borussia Dortmund
81,How much more expensive was diesel compare to electricity per unit?,1.5 times more (per unit of heat energy content)
82,"On the death of Christian Dior in 1957, who succeeded him as head of the House of Dior?",Yves Saint Laurent
83,"Which tv private investigator lived on the island of Oahu, Hawaii?",Thomas Sullivan Magnum IV
84,"The county of West Yorkshire has two Anglican cathedrals, one is in Bradford, where is the other?",Merry City
85,What famous train ran between Paris and Istanbul?,Grandluxe rail
86,"Apart from the special stars, how many categories of stars are there embedded in the pavements on the Hollywood Walk of Fame?",five
87,"What amateur rowing club based at Henley on Thames, England, was founded in 1818?",The Leander Club
88,What language is like Dutch in allowing compounds to be any length?,German
89,Which element makes iron rust?,Oxyjunn
90,What is the English equivalent of the Scottish dish 'Rumbledethumps'?,Bubble and squeak
91,"Which Italian noblewoman was queen of France between 1547 and 1559, and ruled as regent in the years afterwards (full name needed)?",Catherine deMedici
92,Mirabelle is a variety of which fruit?,Prunus subg. Prunus
93,"""What product is """"Dolphin Safe"""" in the U.S. but not necessarily in other countries?""",Tuna Fish
94,In the video game Angry Birds who are the antagonists?,Chazer
95,What's the name of Belgium's oldest parade? ,Carnival Parade of Maaseik
96,"""Which actress played Hazel the Witch in the children's TV programme """"Rentaghost""""?""",Molly Weir
97,"According to mythology, who was rescued by Perseus after being chained to a rock as a sacrifice?",Andromada
98,Who wrote the music for the song Keep the Home Fires Burning?,"Novello, Ivor"
99,What were the five Departments of State that did the work of the modern Ministry of Defence?,"the Admiralty, the War Office, the Air Ministry, the Ministry of Aviation, and an earlier form of the Ministry of Defence"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
